2026-04-06T18:43:13  INFO     [18:43:13.780] [KXSOL15M] HOLDING NO | cur=100c entry=89c | unrealized=$+0.11 | 1.8 min left
2026-04-06T19:10:59  INFO     [19:10:59.563] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 4.0 min left
2026-04-06T19:10:59  INFO     [19:10:59.711] [KXBTC15M] HOLDING NO | cur=89c entry=98c | unrealized=$-0.09 | 4.0 min left
2026-04-06T19:10:59  INFO     [19:10:59.718] [KXSOL15M] HOLDING NO | cur=90c entry=95c | unrealized=$-0.05 | 4.0 min left
2026-04-06T19:11:00  INFO     [19:11:00.302] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 4.0 min left
2026-04-06T19:11:00  INFO     [19:11:00.439] [KXBTC15M] HOLDING NO | cur=89c entry=98c | unrealized=$-0.09 | 4.0 min left
2026-04-06T19:11:00  INFO     [19:11:00.476] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.044] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.199] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.205] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.793] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.929] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 4.0 min left
2026-04-06T19:11:01  INFO     [19:11:01.934] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 4.0 min left
2026-04-06T19:11:02  INFO     [19:11:02.540] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 4.0 min left
2026-04-06T19:11:02  INFO     [19:11:02.660] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 4.0 min left
2026-04-06T19:11:02  INFO     [19:11:02.665] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 4.0 min left
2026-04-06T19:11:03  INFO     [19:11:03.278] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:03  INFO     [19:11:03.388] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:03  INFO     [19:11:03.395] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.025] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.117] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.124] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.772] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.846] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:04  INFO     [19:11:04.852] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:05  INFO     [19:11:05.519] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:05  INFO     [19:11:05.572] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:05  INFO     [19:11:05.580] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:06  INFO     [19:11:06.257] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:06  INFO     [19:11:06.300] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:06  INFO     [19:11:06.304] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:06  INFO     [19:11:06.994] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:07  INFO     [19:11:07.027] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:07  INFO     [19:11:07.037] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:07  INFO     [19:11:07.741] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:07  INFO     [19:11:07.752] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:07  INFO     [19:11:07.765] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:08  INFO     [19:11:08.477] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.9 min left
2026-04-06T19:11:08  INFO     [19:11:08.481] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.9 min left
2026-04-06T19:11:08  INFO     [19:11:08.489] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.9 min left
2026-04-06T19:11:09  INFO     [19:11:09.215] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:09  INFO     [19:11:09.220] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:09  INFO     [19:11:09.223] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:09  INFO     [19:11:09.950] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:09  INFO     [19:11:09.955] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:09  INFO     [19:11:09.960] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:10  INFO     [19:11:10.678] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:10  INFO     [19:11:10.684] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:10  INFO     [19:11:10.699] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:11  INFO     [19:11:11.415] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:11  INFO     [19:11:11.436] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:11  INFO     [19:11:11.445] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.156] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.174] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.177] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.894] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.903] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:12  INFO     [19:11:12.922] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:13  INFO     [19:11:13.633] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:13  INFO     [19:11:13.638] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:13  INFO     [19:11:13.655] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:14  INFO     [19:11:14.366] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.8 min left
2026-04-06T19:11:14  INFO     [19:11:14.370] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.8 min left
2026-04-06T19:11:14  INFO     [19:11:14.388] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.8 min left
2026-04-06T19:11:15  INFO     [19:11:15.094] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:15  INFO     [19:11:15.106] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:15  INFO     [19:11:15.148] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:15  INFO     [19:11:15.820] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:15  INFO     [19:11:15.834] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:15  INFO     [19:11:15.886] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:16  INFO     [19:11:16.555] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:16  INFO     [19:11:16.597] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:16  INFO     [19:11:16.618] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:17  INFO     [19:11:17.288] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:17  INFO     [19:11:17.331] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:17  INFO     [19:11:17.352] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.026] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.056] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.089] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.761] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.788] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:18  INFO     [19:11:18.822] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:19  INFO     [19:11:19.500] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:19  INFO     [19:11:19.515] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:19  INFO     [19:11:19.558] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:20  INFO     [19:11:20.231] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:20  INFO     [19:11:20.244] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:20  INFO     [19:11:20.293] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.7 min left
2026-04-06T19:11:20  INFO     [19:11:20.965] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.7 min left
2026-04-06T19:11:20  INFO     [19:11:20.969] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.7 min left
2026-04-06T19:11:21  INFO     [19:11:21.028] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:21  INFO     [19:11:21.702] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:21  INFO     [19:11:21.706] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:21  INFO     [19:11:21.764] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:22  INFO     [19:11:22.433] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:22  INFO     [19:11:22.439] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:22  INFO     [19:11:22.502] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.174] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.178] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.237] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.901] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.906] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:23  INFO     [19:11:23.975] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:24  INFO     [19:11:24.637] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:24  INFO     [19:11:24.641] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:24  INFO     [19:11:24.712] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:25  INFO     [19:11:25.367] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:25  INFO     [19:11:25.372] [KXETH15M] HOLDING NO | cur=95c entry=94c | unrealized=$+0.01 | 3.6 min left
2026-04-06T19:11:25  INFO     [19:11:25.448] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.105] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.137] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.185] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.841] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.868] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.6 min left
2026-04-06T19:11:26  INFO     [19:11:26.921] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.6 min left
2026-04-06T19:11:27  INFO     [19:11:27.579] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.5 min left
2026-04-06T19:11:27  INFO     [19:11:27.592] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:27  INFO     [19:11:27.657] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.5 min left
2026-04-06T19:11:28  INFO     [19:11:28.311] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.5 min left
2026-04-06T19:11:28  INFO     [19:11:28.318] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:28  INFO     [19:11:28.391] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.045] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.050] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.128] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.784] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.788] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.5 min left
2026-04-06T19:11:29  INFO     [19:11:29.864] [KXSOL15M] HOLDING NO | cur=95c entry=95c | unrealized=$-0.01 | 3.5 min left
2026-04-06T19:11:30  INFO     [19:11:30.520] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:30  INFO     [19:11:30.524] [KXBTC15M] HOLDING NO | cur=93c entry=98c | unrealized=$-0.04 | 3.5 min left
2026-04-06T19:11:30  INFO     [19:11:30.644] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:31  INFO     [19:11:31.254] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:31  INFO     [19:11:31.288] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.5 min left
2026-04-06T19:11:31  INFO     [19:11:31.382] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:31  INFO     [19:11:31.992] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:32  INFO     [19:11:32.024] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.5 min left
2026-04-06T19:11:32  INFO     [19:11:32.115] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:32  INFO     [19:11:32.728] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:32  INFO     [19:11:32.754] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.5 min left
2026-04-06T19:11:32  INFO     [19:11:32.850] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.5 min left
2026-04-06T19:11:33  INFO     [19:11:33.466] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:33  INFO     [19:11:33.480] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:33  INFO     [19:11:33.585] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:34  INFO     [19:11:34.201] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:34  INFO     [19:11:34.206] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:34  INFO     [19:11:34.319] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:34  INFO     [19:11:34.937] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:34  INFO     [19:11:34.941] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:35  INFO     [19:11:35.054] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:35  INFO     [19:11:35.663] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:35  INFO     [19:11:35.668] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:35  INFO     [19:11:35.790] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:36  INFO     [19:11:36.391] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:36  INFO     [19:11:36.398] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:36  INFO     [19:11:36.528] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.125] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.130] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.264] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.864] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.868] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:37  INFO     [19:11:37.999] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:38  INFO     [19:11:38.601] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.4 min left
2026-04-06T19:11:38  INFO     [19:11:38.606] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:38  INFO     [19:11:38.736] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.4 min left
2026-04-06T19:11:39  INFO     [19:11:39.331] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:39  INFO     [19:11:39.336] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:39  INFO     [19:11:39.471] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.060] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.065] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.205] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.790] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.795] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:40  INFO     [19:11:40.941] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:41  INFO     [19:11:41.518] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:41  INFO     [19:11:41.536] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:41  INFO     [19:11:41.677] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:42  INFO     [19:11:42.248] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:42  INFO     [19:11:42.263] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:42  INFO     [19:11:42.412] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:42  INFO     [19:11:42.984] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:42  INFO     [19:11:42.994] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:43  INFO     [19:11:43.146] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:43  INFO     [19:11:43.726] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:43  INFO     [19:11:43.730] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:43  INFO     [19:11:43.880] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:44  INFO     [19:11:44.463] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.3 min left
2026-04-06T19:11:44  INFO     [19:11:44.467] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:44  INFO     [19:11:44.614] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.3 min left
2026-04-06T19:11:45  INFO     [19:11:45.200] [KXBTC15M] HOLDING NO | cur=98c entry=98c | unrealized=$+0.01 | 3.2 min left
2026-04-06T19:11:45  INFO     [19:11:45.204] [KXETH15M] HOLDING NO | cur=98c entry=94c | unrealized=$+0.03 | 3.2 min left
2026-04-06T19:11:45  INFO     [19:11:45.381] [KXSOL15M] HOLDING NO | cur=98c entry=95c | unrealized=$+0.03 | 3.2 min left
